index,id,intakedate,intakereason,istransfer,sheltercode,identichipnumber,animalname,breedname,basecolour,speciesname,animalage,sexname,location,movementdate,movementtype,istrial,returndate,returnedreason,deceaseddate,deceasedreason,diedoffshelter,puttosleep,isdoa
0,15801,11/28/2009 0:00,Moving,0,C09115463,0A115D7358,Jadzia,Domestic Short Hair,Tortie,Cat,9 years 2 months.,Female,Adoptable Cat Glass Colony,5/13/2017 0:00,Adoption,0,,Stray,,Died in care,0,0,0
1,15932,12/8/2009 0:00,Moving,0,D09125594,0A11675477,Gonzo,German Shepherd Dog/Mix,Tan,Dog,9 years 1 month.,Male,Adoptable Dogs,4/24/2017 0:00,Adoption,0,,Stray,,Died in care,0,0,0
2,28859,8/10/2012 0:00,Abandoned,0,D12082309,0A13253C7B,Maggie,Shep Mix/Siberian Husky,Various,Dog,6 years 8 months.,Female,Adoptable Dogs,4/15/2017 0:00,Adoption,0,,Stray,,Died in care,0,0,0
3,30812,1/11/2013 0:00,Abandoned,0,C1301091,0A13403D4D,Pretty Girl,Domestic Short Hair,Dilute tortoiseshell,Cat,8 years 11 months.,Female,Stray Cats,4/18/2017 0:00,Foster,0,5/29/2018 0:00,Stray,,Died in care,0,0,0
4,30812,1/11/2013 0:00,Abandoned,0,C1301091,0A13403D4D,Pretty Girl,Domestic Short Hair,Dilute tortoiseshell,Cat,8 years 11 months.,Female,Stray Cats,5/29/2018 0:00,Adoption,0,,Stray,,Died in care,0,0,0
5,31469,3/26/2013 0:00,Incompatible with owner lifestyle,0,D1303720,9.8102E+14,Bonnie,Basenji/Mix,Brown and White,Dog,5 years 11 months.,Female,Stray Dogs Beta,3/30/2013 0:00,Adoption,0,5/8/2017 0:00,Incompatible with owner lifestyle,,Died in care,0,0,0
6,31469,3/26/2013 0:00,Incompatible with owner lifestyle,0,D1303720,9.8102E+14,Bonnie,Basenji/Mix,Brown and White,Dog,5 years 11 months.,Female,Stray Dogs Beta,5/9/2017 0:00,Adoption,0,,Stray,,Died in care,0,0,0
7,40705,6/19/2015 0:00,Abandoned,0,R15061738,,Candy,American Sable/American,Brown,House Rabbit,4 years 6 months.,Female,Lobby,4/12/2017 0:00,Transfer,0,,Stray,,Died in care,0,0,0
8,40706,6/19/2015 0:00,Abandoned,0,R15061739,,Charlotte,American Sable/American,Brown,House Rabbit,4 years 6 months.,Female,Lobby,4/12/2017 0:00,Transfer,0,,Stray,,Died in care,0,0,0
9,46238,10/9/2016 0:00,Abandoned,0,D16103207,9.8102E+14,Tennessee,Heeler/Mix,Brown and Black,Dog,3 years 2 months.,Male,Special Care Dogs,11/26/2016 0:00,Foster,0,7/23/2017 0:00,Stray,,Died in care,0,0,0
10,46238,10/9/2016 0:00,Abandoned,0,D16103207,9.8102E+14,Tennessee,Heeler/Mix,Brown and Black,Dog,3 years 2 months.,Male,Special Care Dogs,8/9/2017 0:00,Foster,0,2/14/2018 0:00,Stray,,Died in care,0,0,0
11,46238,10/9/2016 0:00,Abandoned,0,D16103207,9.8102E+14,Tennessee,Heeler/Mix,Brown and Black,Dog,3 years 2 months.,Male,Special Care Dogs,2/14/2018 0:00,Adoption,0,,Stray,,Died in care,0,0,0
12,46437,10/26/2016 0:00,Abandoned,0,C16103406,9.8102E+14,Nova,Domestic Long Hair,Black,Cat,12 years 3 months.,Female,Stray Cats,3/25/2017 0:00,Foster,0,4/7/2017 0:00,Stray,2/10/2018 0:00,"UU - untreatable, unmanageable",0,1,0
13,46437,10/26/2016 0:00,Abandoned,0,C16103406,9.8102E+14,Nova,Domestic Long Hair,Black,Cat,12 years 3 months.,Female,Stray Cats,4/7/2017 0:00,Adoption,0,2/9/2018 0:00,Incompatible with owner lifestyle,2/10/2018 0:00,"UU - untreatable, unmanageable",0,1,0
14,46693,11/21/2016 0:00,Abandoned,0,D16113659,9.8102E+14,Baby,Pitbull,White,Dog,4 years 1 month.,Male,Adoptable Dogs,4/7/2017 0:00,Adoption,0,,Stray,,Died in care,0,0,0
15,47120,1/11/2017 0:00,Abandoned,0,C17011137,9.8102E+14,Vivian,Himalayan,Seal,Cat,5 years 0 months.,Female,Foster,1/18/2017 0:00,Foster,0,5/13/2017 0:00,Stray,,Died in care,0,0,0
16,47120,1/11/2017 0:00,Abandoned,0,C17011137,9.8102E+14,Vivian,Himalayan,Seal,Cat,5 years 0 months.,Female,Foster,5/13/2017 0:00,Adoption,0,,Stray,,Died in care,0,0,0
17,47146,1/17/2017 0:00,Abandoned,0,D17011163,9.8102E+14,Dinah,Labrador Retriever/Affenpinscher,Black,Dog,3 years 10 months.,Female,Foster,3/31/2017 0:00,Foster,0,4/1/2017 0:00,Stray,,Died in care,0,0,0
18,47146,1/17/2017 0:00,Abandoned,0,D17011163,9.8102E+14,Dinah,Labrador Retriever/Affenpinscher,Black,Dog,3 years 10 months.,Female,Foster,4/1/2017 0:00,Adoption,0,,Stray,,Died in care,0,0,0
19,47156,1/17/2017 0:00,Abandoned,0,R17011173,,Maxwell,American,Black,House Rabbit,3 years 10 months.,Male,Lobby,3/27/2017 0:00,Foster,0,4/7/2017 0:00,Stray,,Died in care,0,0,0
20,47156,1/17/2017 0:00,Abandoned,0,R17011173,,Maxwell,American,Black,House Rabbit,3 years 10 months.,Male,Lobby,4/7/2017 0:00,Foster,0,4/7/2017 0:00,Stray,,Died in care,0,0,0
21,47156,1/17/2017 0:00,Abandoned,0,R17011173,,Maxwell,American,Black,House Rabbit,3 years 10 months.,Male,Lobby,5/12/2017 0:00,Adoption,0,,Stray,,Died in care,0,0,0
22,47157,1/17/2017 0:00,Abandoned,0,R17011174,,Hammer,American,Black,House Rabbit,3 years 10 months.,Male,Lobby,3/27/2017 0:00,Foster,0,4/7/2017 0:00,Stray,,Died in care,0,0,0
23,47157,1/17/2017 0:00,Abandoned,0,R17011174,,Hammer,American,Black,House Rabbit,3 years 10 months.,Male,Lobby,5/12/2017 0:00,Adoption,0,,Stray,,Died in care,0,0,0
24,47198,1/22/2017 0:00,Abandoned,0,C17011213,9.8102E+14,Mama Mia,Domestic Short Hair,Grey and White,Cat,3 years 3 months.,Female,Adoptable Cat Glass Colony,2/3/2017 0:00,Foster,0,5/25/2017 0:00,Stray,,Died in care,0,0,0
25,47198,1/22/2017 0:00,Abandoned,0,C17011213,9.8102E+14,Mama Mia,Domestic Short Hair,Grey and White,Cat,3 years 3 months.,Female,Adoptable Cat Glass Colony,6/22/2017 0:00,Adoption,0,,Stray,,Died in care,0,0,0
26,47239,1/27/2017 0:00,Abandoned,0,D17011254,9.8102E+14,Maria,,Brown and Black,Dog,1 year 10 months.,Female,Foster,4/1/2017 0:00,Adoption,0,,Stray,,Died in care,0,0,0
27,47248,1/27/2017 0:00,Abandoned,0,C17011263,9.8102E+14,Mr. T,DMH/DSH,Black,Cat,9 years 11 months.,Male,Foster,2/15/2017 0:00,Foster,0,6/2/2017 0:00,Stray,,Died in care,0,0,0
28,47248,1/27/2017 0:00,Abandoned,0,C17011263,9.8102E+14,Mr. T,DMH/DSH,Black,Cat,9 years 11 months.,Male,Foster,6/2/2017 0:00,Adoption,0,,Stray,,Died in care,0,0,0
29,47277,1/31/2017 0:00,Abandoned,0,C17011292,9.8102E+14,Coraline,Domestic Short Hair,Brown and Black,Cat,3 years 10 months.,Female,Adoptable Cat Glass Colony,4/5/2017 0:00,Adoption,0,,Stray,,Died in care,0,0,0
30,47290,2/1/2017 0:00,Abandoned,0,C17021304,9.8102E+14,Montana,Domestic Short Hair,Torbie,Cat,3 years 4 months.,Female,Adoptable Cat Big Colony,3/29/2017 0:00,Foster,0,4/27/2017 0:00,Stray,,Died in care,0,0,0
31,47290,2/1/2017 0:00,Abandoned,0,C17021304,9.8102E+14,Montana,Domestic Short Hair,Torbie,Cat,3 years 4 months.,Female,Adoptable Cat Big Colony,6/22/2017 0:00,Adoption,0,,Stray,,Died in care,0,0,0
